n_estimators,max_depth,MSE,MAE,R2
50,,140.08066399999998,5.691769230769231,0.2326374123719246
50,5.0,142.08505474497835,5.726858471336355,0.221657349708284
50,10.0,140.07986438461538,5.692115384615385,0.2326417926690557
100,,136.08369153846155,5.687423076923077,0.25453284778165597
100,5.0,138.63910389377506,5.756780503133844,0.24053428594281334
100,10.0,135.87549042896393,5.680964285714286,0.25567337451510397
150,,135.59145421367518,5.777679487179488,0.2572293263425742
150,5.0,138.26347433919776,5.863315306070822,0.2425919865473024
150,10.0,135.43552582801323,5.773245421245421,0.2580835028298175
