idx,con_sum,test_sum,factor,test_scaled
0.0,427136.8125,0.0,2.34117025443692e-06,0.0
0.1,277181.03125,0.0,3.607750485270626e-06,0.0
1.0,274870.375,0.0,3.638078494272073e-06,0.0
2.0,429563.25,37619.55078125,2.3279458845699674e-06,0.08757627842058184
4.0,354886.34375,103819.953125,2.8178035520703238e-06,0.2925442326913995
6.0,295482.375,108626.75,3.384296609907782e-06,0.36762514177030015
8.0,207106.953125,82593.1484375,4.828423116226557e-06,0.39879466715755635
10.0,311341.5625,139267.75,3.211906537534641e-06,0.44731499669274
