idx,con_sum,test_sum,factor,test_scaled
10.0,842087.375,666691.9375,1.187525225633504e-06,0.7917134935077255
30.0,737709.375,515833.3125,1.3555473657902205e-06,0.6992364879462186
40.0,832676.625,556274.6875,1.2009464058151027e-06,0.6680560865990444
60.0,863451.375,562961.6875,1.1581428079838312e-06,0.6519900295485661
